german,english,hungarian,type,⍨,score,,
gründlich,thorough(ly),"alapos, alaposan",adj,2014-10-14,5,,
grundliegende,basic (skill level),alapvető (nyelvtudásra is),adj,2014-09-23,5,,
günstig,cheap (positive),olcsó (pozitív),adj,2014-08-24,5,,
gutaussehend,handsome; pretty,jóképű; csinos,adj,2014-08-02,5,,
gute kenntnisse,"good, solid (skill level)","jó (tudás, nyelvtudásra)",adj,2014-09-23,5,,
hart,hard,kemény,adj,2014-08-06,5,,
hartnäckig,"obstinate, stubborn",keményfejű,adj,2014-05-24,5,,
hässlich,ugly; mean,csúnya; utálatos,adj,2014-08-02,5,,
häufig,"frequent, common; frequently, commonly, often",gyakran,adj,2014-05-01,5,,
heiser,husky,rekedt,adj,2014-07-29,5,,
hervorgehoben,highlighted,kiemelt,adj,2014-10-11,5,,
hervorragend,"outstanding, superb",kiváló,adj,2014-07-29,5,,
hochmotiviert,highly motivated,nagyon motivált,adj,2014-07-16,5,,
"hochschwanger,-",very pregnant,terhes (nagyon),adj,2014-05-01,5,,
horrend,"horrendous, horrific","borzasztó, iszonyatos",adj,2014-08-04,5,,
hübsch,pretty,szép (személy),adj,2014-08-02,5,,
indisch,Indian,indiai,adj,2014-10-16,5,,
israelisch,"Israeli, from Israel",izraeli,adj,2014-10-16,5,,
italienisch,Italian,olasz,adj,2014-10-16,5,,
japanisch,Japanese,japán,adj,2014-10-16,5,,
jetzig,present,jelen,adj,2014-08-06,5,,
jugendlich,"adolescent, youth",fiatal,adj,2014-08-20,5,,
"jung,⍨er,⍨sten",junior,kezdő,adj,2014-05-01,5,,
kanadisch,Canadian,kanadai,adj,2014-10-16,5,,
"klug,⍨er,⍨sten",smart,"okos, értelmes",adj,2014-05-01,5,,
kompetent,competent; advanced (skill level),"kompetens (tudás, nyelvtudás, C szint)",adj,2014-09-23,5,,
konstant,constant,konstans,adj,2014-05-05,5,,
kontinuierlich,continuous; ongoing,folyamatos,adj,2014-05-05,5,,
kreisförmig,round-shaped,köralakú,adj,2014-08-02,5,,
kroatisch,Croatian,cseh,adj,2014-10-16,5,,
lahm,"boring, lame (colloquial)","vontatott, unalmas, lassú; gáz (informális)",adj,2014-10-01,5,,
leicht,gently,finoman,adj,2014-05-10,5,,
leicht,"light, easy",könnyű,adj,2014-10-09,5,,
leuchtend,"bright, vibrant",élénk,adj,2014-05-01,5,,
lustig,funny,vicces,adj,2014-10-06,5,,
lustlos,dull; lackluster; spiritless; spiritlessly,kedvtelen,adj,2014-06-04,5,,
luxemburgisch,Luxembourgian,luxembourgi,adj,2014-10-16,5,,
männlich,"male, manly",férfi; férfias,adj,2014-08-31,5,,
merkwürdig,"odd, strange","furcsa, talányos",adj,2014-08-13,5,,
mexikanisch,Mexican,mexikói,adj,2014-10-16,5,,
misstrauisch,"distrustful, suspicious",gyanús,adj,2014-05-01,5,,
mittelaltrig,middle aged,középkorú,adj,2014-08-20,5,,
mittelmäßig,medium,közepes,adj,2014-08-02,5,,
"monatelang,-","lasting for months, months of",hónapokig,adj,2014-05-01,5,,
mutig,"brave, courageous",bátor,adj,2014-08-06,5,,
nachvollziehbar,understandable,érthető,adj,2014-05-07,5,,
nagelneue,brand new,zsír új (slang),adj,2014-05-01,5,,
nass,wet,vizes,adj,2014-05-01,5,,
naturgetreu,realistic,"valósághű, természethű",adj,2014-05-01,5,,
neblig,foggy,ködös,adj,2014-08-24,5,,
neugierig,curious,kíváncsi,adj,2014-10-06,5,,
neuseeländisch,New Zealander,új-zélandi,adj,2014-10-16,5,,
nichtig,"futile, inane, void","semmis, jelentéktelen, értéktelen",adj,2014-10-14,5,,
niederländisch,Dutch,holland,adj,2014-10-16,5,,
nördlich,northern,északi,adj,2014-05-01,5,,
norwegisch,Norwegian,norvég,adj,2014-10-16,5,,
oberflächlich,superficial,felületes,adj,2014-05-01,5,,
österreichisch,Austrian,ausztria,adj,2014-10-16,5,,
östlich,eastern,keleti,adj,2014-05-01,5,,
peinlich,embarrassing,"kellemetlen, ciki, égő",adj,2014-08-13,5,,
penibel,"precise, exact, meticulous; embarrassing","aprólékos, aprólékosan; pedáns, pedánsan",adj,2014-10-12,5,,
polnisch,Polish,lengyel,adj,2014-10-16,5,,
portugiesisch,Portuguese,portugál,adj,2014-10-16,5,,
präzis,precise,pontos,adj,2014-08-02,5,,
preiswert,cost-effective,jutányos,adj,2014-08-24,5,,
pünktlich,"punctual, prompt",pontos (időben),adj,2014-08-02,5,,
quer,crosswise,átlós,adj,2014-05-29,5,,
regelmäßig,regularly,rendszeresen,adj,2014-05-01,5,,
reich,rich,gazdag,adj,2014-05-01,5,,
riechend,smelling,szagos; illatos,adj,2014-08-02,5,,
roh,raw,nyers,adj,2014-08-06,5,,
russisch,Russian,orosz,adj,2014-10-16,5,,
sauber,clean,tiszta,adj,2014-08-02,5,,
schick,pretty (clothes),sikkes,adj,2014-08-02,5,,
schlampig,sloppy; sluttish,slampos; trehány,adj,2014-08-02,5,,
schlank,slim,vékony (személy),adj,2014-08-02,5,,
schlank,slim,vékony,adj,2014-10-06,5,,
schlau,clever,okos; ravasz,adj,2014-05-01,5,,
schlechtaussehend,ugly,ronda,adj,2014-08-02,5,,
schmal,narrow,keskeny,adj,2014-08-02,5,,
"schmal,~er/⍨er,~sten/⍨sten",narrow,"keskeny, szűk",adj,2014-05-01,5,,
schottisch,Scottish,skót,adj,2014-10-16,5,,
schüchtern,shy,szégyenlős,adj,2014-08-31,5,,
schwammig,"pulpy, spongy; imprecise (figuratively)",szivacsos; ködös (átvitt),adj,2014-08-24,5,,
schweizer,Swiss,svájci,adj,2014-10-16,5,,
selbständig,intermediate (skill level),"önálló (tudás, nyelvtudás, B szint)",adj,2014-09-23,5,,
selten,rare,ritka,adj,2014-05-01,5,,
seltsam,"strange, wierd",furcsa,adj,2014-05-01,5,,
serbisch,Serbian,szerb,adj,2014-10-16,5,,
skurril,"quirky, whimsical, absurd, bizarre","furcsa, bizarr",adj,2014-08-09,5,,
slowakisch,Slovakian,szlovák,adj,2014-10-16,5,,
slowenisch,Slovenian,szlovén,adj,2014-10-16,5,,
sorglos,carefree; careless,"gondtalan, laza; gondatlan",adj,2014-08-31,5,,
spanisch,Spanish,spanyol,adj,2014-10-16,5,,
"ständig,-",persistent; permanent,"állandó; állandóan, folyton",adj,2014-05-05,5,,
steinig,stony,"sziklás, köves",adj,2014-10-14,5,,
stimmgewaltig,"loud voiced, strong voiced",erős hangú,adj,2014-09-16,5,,
stinkend,"stinky, smelly",büdös,adj,2014-08-02,5,,
stockreich,totally rich (colloquial),kőgazdag (informális),adj,2014-06-10,5,,
stolz,proud,büszke,adj,2014-10-14,5,,
stumm,dumb,néma,adj,2014-08-24,5,,
stupide,stupid,hülye,adj,2014-08-13,5,,
stur,stubborn,makacs,adj,2014-08-24,5,,
südlich,southern,déli,adj,2014-05-01,5,,
"tatsächlich,-",really,tényleg,adj,2014-05-01,5,,
taugen,"to be suitable, to be good for","alkalmas, megfelelő",adj,2014-10-06,5,,
teilweise,partial,rész,adj,2014-06-04,5,,
treu,faithful,hűséges,adj,2014-05-01,5,,
treu,"faithful, true",hűséges,adj,2014-08-24,5,,
tschechisch,Czech,cseh,adj,2014-10-16,5,,
türkisch,Turkish,török,adj,2014-10-16,5,,
überfällig,overdue,túlesedékes,adj,2014-05-18,5,,
üblich,usual,szokásos,adj,2014-05-01,5,,
"übrig,-","left over, remaining","megmaradt, maradék",adj,2014-05-01,5,,
ukrainisch,Ukrainian,ukrán,adj,2014-10-16,5,,
umsonst,for nothing,ingyen; semmiért; hiába,adj,2014-08-24,5,,
unangenehm,unpleasant,kellemetlen,adj,2014-10-18,5,,
unbekümmert,reckless,gondtalan,adj,2014-08-31,5,,
unentschieden,"tie, standoff","döntetlen, eldöntetlen",adj,2014-07-06,5,,
unersetzlich,irreplaceable,pótolhatatlan,adj,2014-10-14,5,,
unertragbar,"unbearable, untolerable",elviselhetetlen,adj,2014-08-13,5,,
ungarisch,Hungarian,magyar,adj,2014-10-16,5,,
ungeduldig,impatient,türelmetlen,adj,2014-05-01,5,,
ungefährdet,invulnerable,nem veszélyeztetett,adj,2014-06-06,5,,
ungemütlich,uncomfortable,kényelmetlen; kellemetlen,adj,2014-08-24,5,,
ungenau,inaccurate; approximate; imprecise,pontatlan (nem időben),adj,2014-08-02,5,,
ungepflegt,unkempt,ápolatlan,adj,2014-08-02,5,,
unheimlich,wierd (person); sinister,"furcsa (ember); ijesztő, kisérteties (ház)",adj,2014-10-11,5,,
unmotiviert,unmotivated,motiválatlan,adj,2014-06-04,5,,
unpünktlich,unpunctual,pontatlan (időben),adj,2014-08-02,5,,
unreife,unripe,éretlen,adj,2014-05-01,5,,
unsicher,"uncertain, unsure; unsafe",bizonytalan; veszélyes,adj,2014-05-01,5,,
"unterschieden,-","various, different","vegyes, különböző",adj,2014-05-01,5,,
"unterscheidet,-",distinguished,megkülönböztetett,adj,2014-10-20,5,,
"unzählig,-",countless,számtalan,adj,2014-05-01,5,,
unzufrieden,unsatisfied,elégedetlen,adj,2014-08-02,5,,
verdeckt,hidden; buried,eltakarva,adj,2014-05-29,5,,
verhandlungsfähig,capable of negotiation,tárgyalóképes,adj,2014-09-23,5,,
vernünftig,"reasonable, sensible, rational","megfontolt, belátó",adj,2014-10-15,5,,
verreist,gone; being on a trip,elutazva lenni,adj,2014-06-06,5,,
verschieden,"various, different","vegyes, különböző",adj,2014-05-01,5,,
verwöhnt,spoiled,elkényeztetett,adj,2014-08-31,5,,
vorgeschrieben,"dictated, commanded",előírt,adj,2014-05-29,5,,
"vorrangig,~",preferred,"preferált, előnnyel rendelkező",adj,2014-05-01,5,,
vorsichtig,"careful, carefully","óvatos, óvatosan",adj,2014-05-01,5,,
wahnsinn,"crazy, mad",őrült,adj,2014-10-11,5,,
wahrscheinlich,probably,valószínű,adj,2014-05-01,5,,
weiblich,"female, womanly",női; nőies,adj,2014-08-31,5,,
"weich,~er,~esten",soft,puha,adj,2014-05-01,5,,
"weit,~er,~esten",wide,széles,adj,2014-05-01,5,,
wertig,valuable,értékes,adj,2014-05-01,5,,
westlich,western,nyugati,adj,2014-05-01,5,,
wirtschaftlich,"economic, efficient",gazdaságos,adj,2014-08-24,5,,
wütend,furious,mérges,adj,2014-09-22,5,,
zornig,"angry, furious",haragos,adj,2014-09-22,5,,
zufällig,"accidental, coincidental; random, by chance, stochastic",véletlenül,adj,2014-05-29,5,,
zufrieden,satisfied,elégedett,adj,2014-08-02,5,,
"zusätzlich,-",additional,"extra, hozzá-",adj,2014-05-01,5,,
allenfalls,"at best, at most",legjobb esetben,adv,2014-07-29,5,,
"angeblich,-",allegedly,állítólag,adv,2014-05-12,5,,
beinah,almost,közel,adv,2014-05-01,5,,
besonders,"especially, particularly; exceptionally",kimondottan; kivételesen,adv,2014-10-13,5,,
bestenfalls,"at best, at most",legjobb esetben,adv,2014-07-29,5,,
bisher,"so far, this far",eddig,adv,2014-08-11,5,,
dabei,"yet, however; (when) indeed, (but) actually; with one, on one; with him/her/that","amellett, mellette, azáltal, pedig, ennél, annál; azonkívül, méghozzá; vkinél/vkivel",adv,2014-10-14,5,,
darauf,on,rajta,adv,2014-05-01,5,,
darüber,"about that, above that","erről, arról, róla (tudni, olvasni, hallani, stb); afelett, efelett",adv,2014-05-10,5,,
dazu,about that,"ahhoz, ehhez (hozzátenni, elmondani)",adv,2014-05-10,5,,
dennoch,"anyhow, however",ennek ellenére; mégiscsak,adv,2014-06-04,5,,
derzeitig,"current, currently",aktuális,adv,2014-10-09,5,,
deshalb,"therefore, hence",ezért,adv,2014-05-01,5,,
dorthin,(to) there,oda,adv,2014-05-01,5,,
eher,"rather, quite",inkább,adv,2014-05-01,5,,
eigentlich,"actually, properly",valójában,adv,2014-05-01,5,,
endlich,in the end,végre,adv,2014-05-01,5,,
häufig,often,gyakran,adv,2014-05-06,5,,
hierzu,about this,"erről, ehhez (hozzátenni, elmondani)",adv,2014-05-10,5,,
höchstens,"at best, at most",legjobb esetben,adv,2014-07-29,5,,
hoffentlich,hopefully,remélhetőleg,adv,2014-10-09,5,,
immerhin,after all,mégiscsak,adv,2014-05-01,5,,
irgendwo,somewhere,valahol,adv,2014-10-08,5,,
je,ever,valaha,adv,2014-08-11,5,,
jedoch,however,"ámde, mindazonáltal",adv,2014-07-30,5,,
jemals,ever,valaha,adv,2014-10-11,5,,
kaum,"hardly, scarcely, barely",alig,adv,2014-08-11,5,,
letzlich,in the end,végre,adv,2014-05-01,5,,
meistens,"mostly, usually, normally",legtöbbször,adv,2014-05-01,5,,
mindestens,at least,minimum,adv,2014-05-01,5,,
nötig,necessary,"kötelező, szükséges",adv,2014-10-13,5,,
nun,"well, so",nos,adv,2014-05-01,5,,
rückwärts,backwards,"hátrafelé, visszafelé",adv,2014-10-14,5,,
sau,bunch (colloquial),nagyon (informális),adv,2014-10-01,5,,
schließlich,"after all, in the end",végül,adv,2014-05-01,5,,
sonst,"else, otherwise, besides, moreover",különben,adv,2014-08-24,5,,
stattdessen,instead,helyette,adv,2014-05-01,5,,
teilweise,"partially, to some extent",részben; egy bizonyos fokig/szintig,adv,2014-06-04,5,,
trotzdem,"anyhow, however",ennek ellenére; mégiscsak,adv,2014-07-30,5,,
überhaupt,"at all, anyway",egyáltalán,adv,2014-05-05,5,,
vergangen,"past, bygone",múlt,adv,2014-08-06,5,,
volkig,cloudy,felhős,adv,2014-05-01,5,,
vorher,beforehand,"korábban, előtte",adv,2014-05-01,5,,
vorher,"before, beforehand",előtte,adv,2014-05-09,5,,
weiterhin,"continue, still",tovább,adv,2014-05-10,5,,
weshalb,"why, wherefore",amiért,adv,2014-05-01,5,,
wozu,wherefor? whereto? what for?,minek; mihez,adv,2014-08-06,5,,
zukünftig,in the future,jövőben,adv,2014-08-06,5,,
zuletzt,last time,utolsó alkalommal,adv,2014-05-01,5,,
zumindest,at least,legalábbis,adv,2014-08-11,5,,
zumindest,at least,legalább,adv,2014-10-09,5,,
zurzeit,"currently, at the moment",pillanatnyilag,adv,2014-08-11,5,,
zuvor,"before, beforehand",korábban,adv,2014-10-11,5,,
zwar,although,bár,adv,2014-05-09,5,,
... eigentlich?,"By the way, ...","Tényleg, ...?",exp,2014-10-11,5,,
(es) klingt gut,sounds good,jól hangzik,exp,2014-08-06,5,,
(viel) Wert auf etwas legen,to value something (a lot),(sokat) adni vmire,exp,2014-10-01,5,,
alles drumm und dran,paraphernalia,"minden, ami hozzá tartozik",exp,2014-08-24,5,,
alles Satt haben,being all fed up (colloquial),mindenből elégnek lenni (informális),exp,2014-06-10,5,,
als ob,as if,mintha,exp,2014-10-13,5,,
Ältere Dame,elderly lady,idősebb hölgy,exp,2014-08-20,5,,
Älterer Herr,elderly genteman,idősebb úr,exp,2014-08-20,5,,
am Arsch,shit (vulgar),szar (vulgáris),exp,2014-05-01,5,,
am gleichen Tag,on the same day,aznap,exp,2014-05-01,5,,
an Montag,on Monday,hétfőn,exp,2014-05-01,5,,
"an|tun, antue, antust, antut, antun, antut, antun, antaten, angetan + (D) + (A)","to do something to someone, to do sb. a mischief, to do violence to sb.",elkövetni valamit valaki ellen,exp,2014-08-24,5,,
Angenehm,glad (to meet you),örvendek,exp,2014-10-10,5,,
Angenehm Sie kennenzulernen,glad to meet you,"örvendek, hogy megismerhetem",exp,2014-10-10,5,,
ansonsten,otherwise,egyébként,exp,2014-05-01,5,,
arme Sau,poor thing,szegény pára,exp,2014-10-01,5,,
auch mal,sometimes ,"néha, alkalomadtán",exp,2014-05-01,5,,
auf dem Spiel stehen,to be on the line of sthg,valaminek a tétje,exp,2014-06-06,5,,
auf ein Bier,for a beer,egy kávéra,exp,2014-10-08,5,,
auf etw. antworten,to answer to sth,válaszolni vmire,exp,2014-05-10,5,,
auf jdn. antworten,to react to sb,reagálni vkinek,exp,2014-05-10,5,,
auf keine weise?,by no means? no way?,semmi esetre sem?,exp,2014-10-15,5,,
Ausgeschlossen!,No way!,Az kizárt!,exp,2014-10-09,5,,
austauschen lassen,to have sthg replaced,kicseréltetni,exp,2014-05-24,5,,
beim Stand der Dinge,as things are now,a dolgok állása alapján,exp,2014-09-23,5,,
h beschweren + sich(A) + bei + jmd,to complain to somone,panaszt tenni vkinél,verb,2014-05-01,5,,
h beschweren + sich(A) + über + (A),to complain about something,panaszkodni valamiről,verb,2014-05-01,5,,
checkst es nicht?,don't you get it? (colloquial),nem érted? (informális),exp,2014-05-01,5,,
Das ist es Wert,that's worth it,érdemes,exp,2014-05-01,5,,
Das Leben ist kein Ponyhof,life is hard (saying),az élet nem egy habostorta (mondás),exp,2014-07-14,5,,
das Mittel zum Zweck,the means to an end,eszköz a cél eléréséhez,exp,2014-08-24,5,,
dazu gehört,what you can imagine,amit el tudsz képzelni,exp,2014-05-24,5,,
den Kontakt erhalten,to keep in touch,kapcsolatot tartani,exp,2014-05-24,5,,
Doch schon.,"Yes, I do.",De igen.,exp,2014-10-11,5,,
dritt größte,third biggest,harmadik legnagyobb,exp,2014-05-29,5,,
du schaffst Das!,you can do it!,sikerülni fog,exp,2014-05-01,5,,
ein wenig,to some extent,részben; egy bizonyos fokig/szintig,exp,2014-06-04,5,,
eine Menge an etw.,a lot of sth,egy csomó vmiből,exp,2014-05-11,5,,
eine unserer sysadmins,one of our sysadmins,az egyik sysadminunk,exp,2014-05-01,5,,
einige Maßen,to some extent,részben; egy bizonyos fokig/szintig,exp,2014-06-04,5,,
einziehen ins Finale,to make it into the finals,bejutni a döntőbe,exp,2014-06-06,5,,
Ernst?,Seriously?,Komoly?,exp,2014-10-06,5,,
es geht los,it finally begins,kezdődik végre,exp,2014-05-09,5,,
es gibt Ärger,there's trouble ,különben dühbe gurulok,exp,2014-05-01,5,,
es ist mir eine Ehre,my honor,számomra megtiszteltetés,exp,2014-08-31,5,,
es ist mir recht,it is right to me ,nekem megfelel,exp,2014-05-01,5,,
es ist so bescheuert!,this is so stupid!,ez akkora baromság!,exp,2014-08-06,5,,
es Satt haben,being annoyed (by sthg),elegének lenni,exp,2014-06-10,5,,
fein raus sein,to be off the hook,mossa kezeit,exp,2014-05-24,5,,
Freut mich ,glad (to meet you),örvendek,exp,2014-10-10,5,,
Freut mich Sie kennenzulernen,glad to meet you,örvendek,exp,2014-10-10,5,,
"Freut mich, dich kennenzulernen.",glad to meet you; nice to get to meet you,"örülök, hogy megismerhetlek; örvendek a szerencsének",exp,2014-10-08,5,,
Geduld!,patience! ,türelem,exp,2014-05-01,5,,
Geht klar!,Alright!,Rendben!,exp,2014-10-10,5,,
Geld ausgeben,to spend,pénzt elkölteni,exp,2014-10-15,5,,
gesagt kriegen,"get said, be told",lehordva lenni?,exp,2014-10-14,5,,
herstellen den Kontakt,to make contact,kapcsolatot teremteni (form.),exp,2014-05-24,5,,
Ich befürchte,I'm afraid of,attól tartok,exp,2014-10-15,5,,
Ich bin rechts ran (gefahren),I pull over,lehúzódok,exp,2014-05-29,5,,
Ich gebe eins aus!,One's on me!,Meghívlak egyre!,exp,2014-10-15,5,,
"Ich habe es Satt, immer nach dir Ordnung machen zu müssen",I had enough of you always having to make orders,"elegem van belőle, hogy állandóan parancsolgatnod kell",exp,2014-06-10,5,,
Ich habe gerade…,I just…,épp most…,exp,2014-05-01,5,,
Ich hocke immer noch beim Arzt,I'm wasting my time at the doctor,kb. még mindig az orvosnál baszom a rezet,exp,2014-05-18,5,,
Ich scheisse drauf,I don't give a shit,leszarom,exp,2014-05-09,5,,
Ich schon.,I do.,Én igen.,exp,2014-10-11,5,,
Ich sehe das genauso,I agree,egyetértek (az elhangzottakkal),exp,2014-06-06,5,,
Ich spreche auf einem fortgeschritten Niveau Deutsch.,I speak German at an advanced level,folyékonyan beszélek németül,exp,2014-09-23,5,,
Ich spreche Deutsch auf einem selbständigen Niveau.,I speak German at a proficient level,haladó szinten beszélek németül,exp,2014-09-23,5,,
